,A Lot,Nesmith Hall,New Hampshire Hall,Edgewood Visitors Lot,Congreve,DeMerritt,Conant Hall,Spaulding,Kingsbury,Parsons,Horton,B Lot,Lower Quad,MUB,Holloway Commons,Health Services,Paul College,Smith Hall,Thompson Hall
A Lot,0:00:00,16:50.6,15:31.0,17:16.5,19:14.6,16:03.5,16:12.7,16:24.4,16:39.9,17:02.0,17:13.9,17:33.8,18:23.2,18:48.8,19:06.0,19:21.1,19:42.4,19:59.0,19:59.4
Nesmith Hall,16:50.6,0:00:00,10:09.6,13:44.4,17:45.0,11:15.8,11:34.5,11:58.4,0:12:30,13:15.1,13:39.3,14:19.7,16:00.4,16:52.6,17:27.5,17:58.3,18:41.8,19:15.5,19:16.4
New Hampshire Hall,15:31.0,10:09.6,0:00:00,10:11.0,19:06.9,04:17.8,05:00.3,05:54.5,07:06.3,08:48.5,09:43.5,11:15.2,15:03.8,17:02.2,18:21.5,19:31.2,21:10.0,22:26.4,22:28.5
Edgewood Visitors Lot,17:16.5,13:44.4,10:11.0,0:00:00,15:45.8,10:21.1,10:36.4,10:55.9,11:21.8,11:58.7,12:18.5,12:51.5,14:14.0,14:56.7,15:25.3,15:50.4,16:26.0,16:53.6,16:54.3
Congreve,19:14.6,17:45.0,19:06.9,15:45.8,0:00:00,17:12.9,16:53.1,16:28.4,15:55.7,15:09.2,14:44.1,14:02.4,12:18.3,11:24.3,10:48.2,10:16.5,09:31.5,08:56.7,08:56.5
DeMerritt,16:03.5,11:15.8,04:17.8,10:21.1,17:12.9,0:00:00,00:32.3,01:29.9,02:47.5,04:38.1,05:37.6,07:16.7,11:24.0,13:32.1,14:57.9,16:13.3,18:00.1,19:22.8,19:43.6
Conant Hall,16:12.7,11:34.5,05:00.3,10:36.4,16:53.1,00:32.3,0:00:00,0:00:24,01:41.6,03:32.2,04:31.7,06:10.8,10:18.1,12:26.2,13:52.0,15:07.4,16:54.2,18:16.9,18:50.9
Spaulding,16:24.4,11:58.4,05:54.5,10:55.9,16:28.4,01:29.9,0:00:24,0:00:00,01:07.4,02:57.9,03:57.4,05:36.6,09:43.8,11:52.0,13:17.7,14:33.1,16:19.9,17:42.6,18:23.5
Kingsbury,16:39.9,0:12:30,07:06.3,11:21.8,15:55.7,02:47.5,01:41.6,01:07.4,0:00:00,01:44.9,02:44.4,04:23.5,08:30.8,10:38.9,12:04.6,13:20.1,15:06.9,16:29.6,17:25.1
Parsons,17:02.0,13:15.1,08:48.5,11:58.7,15:09.2,04:38.1,03:32.2,02:57.9,01:44.9,0:00:00,00:43.9,02:23.0,06:30.3,08:38.4,10:04.2,11:19.6,13:06.4,14:29.1,15:48.7
Horton,17:13.9,13:39.3,09:43.5,12:18.5,14:44.1,05:37.6,04:31.7,03:57.4,02:44.4,00:43.9,0:00:00,01:13.8,05:20.6,07:28.8,08:54.5,10:09.9,11:56.7,13:19.4,14:52.9
B Lot,17:33.8,14:19.7,11:15.2,12:51.5,14:02.4,07:16.7,06:10.8,05:36.6,04:23.5,02:23.0,01:13.8,0:00:00,03:54.9,06:03.0,07:28.7,08:44.2,10:31.0,11:53.7,13:44.3
Lower Quad,18:23.2,16:00.4,15:03.8,14:14.0,12:18.3,11:24.0,10:18.1,09:43.8,08:30.8,06:30.3,05:20.6,03:54.9,0:00:00,02:01.6,03:27.3,04:42.8,06:29.6,07:52.3,10:31.2
MUB,18:48.8,16:52.6,17:02.2,14:56.7,11:24.3,13:32.1,12:26.2,11:52.0,10:38.9,08:38.4,07:28.8,06:03.0,02:01.6,0:00:00,01:22.4,02:37.9,04:24.7,05:47.4,08:51.3
Holloway Commons,19:06.0,17:27.5,18:21.5,15:25.3,10:48.2,14:57.9,13:52.0,13:17.7,12:04.6,10:04.2,08:54.5,07:28.7,03:27.3,01:22.4,0:00:00,01:12.4,02:57.7,04:20.4,07:41.7
Health Services,19:21.1,17:58.3,19:31.2,15:50.4,10:16.5,16:13.3,15:07.4,14:33.1,13:20.1,11:19.6,10:09.9,08:44.2,04:42.8,02:37.9,01:12.4,0:00:00,01:43.1,03:05.6,06:41.9
Paul College,19:42.4,18:41.8,21:10.0,16:26.0,09:31.5,18:00.1,16:54.2,16:19.9,15:06.9,13:06.4,11:56.7,10:31.0,06:29.6,04:24.7,02:57.7,01:43.1,0:00:00,01:31.5,05:18.2
Smith Hall,19:59.0,19:15.5,22:26.4,16:53.6,08:56.7,19:22.8,18:16.9,17:42.6,16:29.6,14:29.1,13:19.4,11:53.7,07:52.3,05:47.4,04:20.4,03:05.6,01:31.5,0:00:00,04:04.5
Thompson Hall,19:59.4,19:16.4,22:28.5,16:54.3,08:56.5,19:43.6,18:50.9,18:23.5,17:25.1,15:48.7,14:52.9,13:44.3,10:31.2,08:51.3,07:41.7,06:41.9,05:18.2,04:04.5,0:00:00
