WigleWifi-1.4,appRelease=2.26,model=XT1254,release=6.0.1,device=quark,display=MCG24.251-5-5,board=APQ8084,brand=motorola
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
f0:ab:54:bc:30:eb,RollingThunder,[WPA2-PSK-CCMP+TKIP][ESS],2018-02-20 16:04:45,1,-92,43.13944992,-70.93669234,1,3,WIFI
a0:63:91:a0:a5:33,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-20 16:05:15,6,-90,43.13930608,-70.93666266,2,3,WIFI
c4:49:bb:53:12:aa,WiFi Hotspot 8806,[WPA2-PSK-CCMP+TKIP][ESS],2018-02-20 16:05:42,6,-81,43.13930605,-70.93666198,2,3,WIFI
f0:ab:54:37:0f:c7,Kendalls Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2018-02-20 16:06:14,11,-90,43.1393055,-70.93666252,2,3,WIFI
a0:63:91:a0:a5:33,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-20 16:07:29,6,-82,43.13895697,-70.93626291,4,3,WIFI
b4:5d:50:e4:c8:b2,UNH-Secure,[WPA2-EAP-CCMP][ESS],2018-02-20 16:07:29,36,-89,43.13895697,-70.93626291,4,3,WIFI
b4:5d:50:e4:c8:b0,eduroam,[WPA2-EAP-CCMP][ESS],2018-02-20 16:07:29,36,-90,43.13895697,-70.93626291,4,3,WIFI
b4:5d:50:d9:a1:62,UNH-Secure,[WPA2-EAP-CCMP][ESS],2018-02-20 16:07:29,11,-90,43.13895697,-70.93626291,4,3,WIFI
a0:63:91:a0:a5:33,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-20 16:07:42,6,-77,43.13887242,-70.93605895,5,3,WIFI
b4:5d:50:d9:a1:62,UNH-Secure,[WPA2-EAP-CCMP][ESS],2018-02-20 16:07:42,11,-80,43.13887242,-70.93605895,5,3,WIFI
b4:5d:50:d9:a1:70,eduroam,[WPA2-EAP-CCMP][ESS],2018-02-20 16:07:42,5580,-79,43.13887242,-70.93605895,5,3,WIFI
