,A Lot,Nesmith Hall,New Hampshire Hall,Edgewood Visitors Lot,Congreve,DeMerritt,Conant Hall,Spaulding,Kingsbury,Parsons,Horton,B Lot,Lower Quad,MUB,Holloway Commons,Health Services,Paul College,Smith Hall,Thompson Hall
A Lot,00:00.0,17:11.9,15:50.9,17:31.7,19:31.2,16:22.4,16:35.6,16:42.5,16:57.1,17:21.2,17:35.1,17:52.2,18:40.5,19:05.5,19:22.9,19:37.8,19:58.8,20:17.2,20:13.7
Nesmith Hall,16:50.6,00:00.0,10:35.8,14:01.1,18:04.4,11:39.9,12:06.7,12:20.7,12:50.5,13:39.5,14:07.9,14:42.9,16:21.2,17:12.1,17:47.5,18:18.0,19:00.6,19:38.1,19:31.0
New Hampshire Hall,15:31.0,10:09.6,00:00.0,10:19.2,19:23.5,04:49.8,05:50.7,06:22.4,07:29.9,09:21.3,10:25.7,11:45.0,15:28.2,17:23.7,18:44.1,19:53.2,21:29.9,22:55.1,22:39.0
Edgewood Visitors Lot,17:16.5,13:44.4,10:11.0,00:00.0,15:54.3,10:37.0,10:58.9,11:10.4,11:34.7,12:14.9,12:38.1,13:06.7,14:27.1,15:08.8,15:37.8,16:02.7,16:37.5,17:08.3,17:02.4
Congreve,19:14.6,17:45.0,19:06.9,15:45.8,00:00.0,17:13.1,16:45.4,16:30.9,16:00.2,15:09.5,14:40.1,14:04.0,12:22.4,11:29.8,10:53.1,10:21.7,09:37.6,08:58.8,09:06.2
DeMerritt,16:03.5,11:15.8,04:17.8,10:21.1,17:12.9,00:00.0,01:20.6,01:54.9,03:07.9,05:08.4,06:18.1,07:43.8,11:45.2,13:50.1,15:17.1,16:31.8,18:16.4,19:48.6,19:45.5
Conant Hall,16:12.7,11:34.5,05:00.3,10:36.4,16:53.1,00:32.3,00:00.0,01:08.9,02:21.9,04:22.4,05:32.1,06:57.8,10:59.2,13:04.1,14:31.1,15:45.8,17:30.5,19:02.6,19:08.5
Spaulding,16:24.4,11:58.4,05:54.5,10:55.9,16:28.4,01:29.9,0:00:24,00:00.0,01:23.3,03:23.8,04:33.5,05:59.2,10:00.6,12:05.5,13:32.5,14:47.2,16:31.9,0:18:04,18:21.7
Kingsbury,16:39.9,0:12:30,07:06.3,11:21.8,15:55.7,02:47.5,01:41.6,01:07.4,00:00.0,02:06.2,03:15.8,04:41.6,08:43.0,10:47.9,12:14.9,13:29.6,15:14.2,16:46.4,17:19.5
Parsons,17:02.0,13:15.1,08:48.5,11:58.7,15:09.2,04:38.1,03:32.2,02:57.9,01:44.9,00:00.0,01:25.3,02:51.0,06:52.4,08:57.3,10:24.3,11:39.0,13:23.6,14:55.8,15:51.1
Horton,17:13.9,13:39.3,09:43.5,12:18.5,14:44.1,05:37.6,04:31.7,03:57.4,02:44.4,00:43.9,00:00.0,01:51.6,05:52.9,07:57.8,09:24.8,10:39.5,12:24.2,13:56.3,15:03.5
B Lot,17:33.8,14:19.7,11:15.2,12:51.5,14:02.4,07:16.7,06:10.8,05:36.6,04:23.5,02:23.0,01:13.8,00:00.0,04:13.8,06:18.7,07:45.7,09:00.4,10:45.0,12:17.2,13:44.2
Lower Quad,18:23.2,16:00.4,15:03.8,14:14.0,12:18.3,11:24.0,10:18.1,09:43.8,08:30.8,06:30.3,05:20.6,03:54.9,00:00.0,02:11.4,03:38.4,04:53.1,06:37.7,08:09.9,10:26.4
MUB,18:48.8,16:52.6,17:02.2,14:56.7,11:24.3,13:32.1,12:26.2,11:52.0,10:38.9,08:38.4,07:28.8,06:03.0,02:01.6,00:00.0,01:30.3,02:45.0,04:29.6,06:01.8,08:43.9
Holloway Commons,19:06.0,17:27.5,18:21.5,15:25.3,10:48.2,14:57.9,13:52.0,13:17.7,12:04.6,10:04.2,08:54.5,07:28.7,03:27.3,01:22.4,00:00.0,01:20.1,03:03.9,04:36.0,07:35.3
Health Services,19:21.1,17:58.3,19:31.2,15:50.4,10:16.5,16:13.3,15:07.4,14:33.1,13:20.1,11:19.6,10:09.9,08:44.2,04:42.8,02:37.9,01:12.4,00:00.0,01:48.4,03:20.6,06:34.9
Paul College,19:42.4,18:41.8,21:10.0,16:26.0,09:31.5,18:00.1,16:54.2,16:19.9,15:06.9,13:06.4,11:56.7,10:31.0,06:29.6,04:24.7,02:57.7,01:43.1,00:00.0,01:44.6,05:09.5
Smith Hall,19:59.0,19:15.5,22:26.4,16:53.6,08:56.7,19:22.8,18:16.9,17:42.6,16:29.6,14:29.1,13:19.4,11:53.7,07:52.3,05:47.4,04:20.4,03:05.6,01:31.5,00:00.0,04:03.6
Thompson Hall,19:59.4,19:16.4,22:28.5,16:54.3,08:56.5,19:43.6,18:50.9,18:23.5,17:25.1,15:48.7,14:52.9,13:44.3,10:31.2,08:51.3,07:41.7,06:41.9,05:18.2,04:04.5,00:00.0
